row_id,source_id,family,template_id,boundary_case_type,reference_candidate_release_safe,reference_display_action,reference_reportability_gate,reference_reason_code,reference_suggested_rewrite,conservative_candidate_release_safe,conservative_display_action,conservative_reportability_gate,conservative_reason_code,channel_actions,channel_safeties,outcome_version
V317B-LLM-001,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-002,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"In the reported main evaluation, generated benchmarks achieved about 96-98% human acceptance and UIA scores from 68.54 to 81.48.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-003,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,The generated benchmarks are reported to show consistent Qwen3.5 scaling trends on three applicable benchmarks from 2B to 27B.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-004,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,background_support_only,no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,SUPPORT_ONLY|SUPPORT_ONLY|SUPPORT_ONLY,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-005,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-006,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"On TeleSWEBench, the best-performing evaluated ASE tools reached up to a 25% success rate for producing shippable code.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-007,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,TeleSWEBench uses a two-stage evaluation pipeline designed to decouple file-localization or architectural navigation skills from functional code-generation correctness.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-008,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,hard_nonrepairable_suppress,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,SUPPRESS|SUPPRESS|SUPPRESS,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-009,V34H-LLM-003,llm_evaluation,TPL-LLM-EVAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-010,V34H-LLM-003,llm_evaluation,TPL-LLM-EVAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"On RewardBench, SenseJudge outperformed compared general LLM-as-a-judge methods and was 1.65% behind the generative reward model without training.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,WEAKEN|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-011,V34H-LLM-003,llm_evaluation,TPL-LLM-EVAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,The paper proposes SenseBench as a diverse instruction-following benchmark derived from real-world multi-turn interactions.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-012,V34H-LLM-003,llm_evaluation,TPL-LLM-EVAL-V18,background_support_only,no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,SUPPORT_ONLY|SUPPORT_ONLY|SUPPORT_ONLY,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-013,V34H-LLM-004,llm_evaluation,TPL-LLM-EVAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-014,V34H-LLM-004,llm_evaluation,TPL-LLM-EVAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,The proposed method is reported to improve over Qwen3-VL-4B-Thinking by 4% in pairwise evaluation and 11% in batch-level evaluation.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,WEAKEN|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-015,V34H-LLM-004,llm_evaluation,TPL-LLM-EVAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,The ablation reports that using PPJD instead of MMPR-v1.2 as training data improves all measured metrics.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-016,V34H-LLM-004,llm_evaluation,TPL-LLM-EVAL-V18,hard_nonrepairable_suppress,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|SUPPRESS,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-017,V34H-LLM-005,llm_evaluation,TPL-LLM-EVAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
