span_task_id,adapter_id,template_id,source_family,title,candidate_claim,gold_action,computed_action,renderer_rule,action_match,claim_level_target_kind,claim_level_span_found,span_match_type,evidence_mode,emitted_claim,forbidden_claim,G_binding,Q_binding,U_binding,typed_preorder,admission_status
F1CS-001,CLAIMSPAN-DATASET-DOC,CS-DDOC-ACCEPT,dataset_documentation,Datasheets for Datasets,The dataset card records provenance and recommended-use context for downstream evaluation.,ACCEPT,ACCEPT,positive_support_with_localized_span,PASS,positive_support_locator,partial,narrower_support,partial_or_narrower_span_support,The dataset card records provenance and recommended-use context for downstream evaluation.,"Documentation alone proves deployment validity, fairness, privacy safety, or target-domain performance.",documentation artifact; dataset provenance/composition/use field; represented population or recommended-use cue,presence of a documented field or structured summary in the source,"dataset review, benchmark/resource reporting, documentation adequacy audit",documentation_context_claim <= dataset_quality_claim <= deployment_validity_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-002,CLAIMSPAN-DATASET-DOC,CS-DDOC-ACCEPT,dataset_documentation,Datasheets for Datasets,The datasheet evidence shows dataset provenance and recommended-use context.,ACCEPT,ACCEPT,positive_support_with_localized_span,PASS,positive_support_locator,yes,exact_support,direct_span_support,The datasheet evidence shows dataset provenance and recommended-use context.,"Documentation alone proves deployment validity, fairness, privacy safety, or target-domain performance.",documentation artifact; dataset provenance/composition/use field; represented population or recommended-use cue,presence of a documented field or structured summary in the source,"dataset review, benchmark/resource reporting, documentation adequacy audit",documentation_context_claim <= dataset_quality_claim <= deployment_validity_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-003,CLAIMSPAN-DATASET-DOC,CS-DDOC-ACCEPT,dataset_documentation,Data Statements for Natural Language Processing,The data statement supports a claim about language-data provenance and population context.,ACCEPT,ACCEPT,positive_support_with_localized_span,PASS,positive_support_locator,partial,narrower_support,partial_or_narrower_span_support,The data statement supports a claim about language-data provenance and population context.,"Documentation alone proves deployment validity, fairness, privacy safety, or target-domain performance.",documentation artifact; dataset provenance/composition/use field; represented population or recommended-use cue,presence of a documented field or structured summary in the source,"dataset review, benchmark/resource reporting, documentation adequacy audit",documentation_context_claim <= dataset_quality_claim <= deployment_validity_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-004,CLAIMSPAN-DATASET-DOC,CS-DDOC-ACCEPT,dataset_documentation,Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI,The data card establishes a reusable documentation object for downstream review.,ACCEPT,ACCEPT,positive_support_with_localized_span,PASS,positive_support_locator,partial,narrower_support,partial_or_narrower_span_support,The data card establishes a reusable documentation object for downstream review.,"Documentation alone proves deployment validity, fairness, privacy safety, or target-domain performance.",documentation artifact; dataset provenance/composition/use field; represented population or recommended-use cue,presence of a documented field or structured summary in the source,"dataset review, benchmark/resource reporting, documentation adequacy audit",documentation_context_claim <= dataset_quality_claim <= deployment_validity_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-008,CLAIMSPAN-LLM-EVAL,CS-LEV-ACCEPT,llm_evaluation,Holistic Evaluation of Language Models,"The evaluation result is bounded to the scenario, prompt protocol, and metric.",ACCEPT,ACCEPT,positive_support_with_localized_span,PASS,positive_support_locator,yes,exact_support,direct_span_support,"The evaluation result is bounded to the scenario, prompt protocol, and metric.","The benchmark/eval result proves general intelligence, product safety, or future capability.",scenario set; prompt protocol; task/subject set; metric; evaluation harness/configuration,reported result or configuration evidence under the stated evaluation protocol,"benchmark reporting, model comparison, reproducibility review",scenario_metric_claim <= broad_capability_claim; config_report <= comparability_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-009,CLAIMSPAN-LLM-EVAL,CS-LEV-ACCEPT,llm_evaluation,Measuring Massive Multitask Language Understanding,The benchmark compares models on the included subject tasks and metric.,ACCEPT,ACCEPT,positive_support_with_localized_span,PASS,positive_support_locator,yes,exact_support,direct_span_support,The benchmark compares models on the included subject tasks and metric.,"The benchmark/eval result proves general intelligence, product safety, or future capability.",scenario set; prompt protocol; task/subject set; metric; evaluation harness/configuration,reported result or configuration evidence under the stated evaluation protocol,"benchmark reporting, model comparison, reproducibility review",scenario_metric_claim <= broad_capability_claim; config_report <= comparability_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-013,CLAIMSPAN-CONFORMAL,CS-CONF-ACCEPT,conformal_prediction,Uncertainty Sets for Image Classifiers using Conformal Prediction,The conformal method provides marginal coverage under stated calibration assumptions.,ACCEPT,ACCEPT,positive_support_with_localized_span,PASS,positive_support_locator,yes,exact_support,direct_span_support,The conformal method provides marginal coverage under stated calibration assumptions.,"A marginal conformal guarantee proves each individual prediction is correct, every subgroup is covered, or deployment reliability is certified.",calibration procedure; exchangeability or distributional assumption; nominal level; risk/coverage definition; prediction-set construction,stated marginal coverage or declared risk-control guarantee in the source,"uncertainty-set, prediction-set, or risk-control reporting",declared_marginal_coverage_claim <= conditional_or_instance_claim; declared_risk_control_claim <= deployment_reliability_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-014,CLAIMSPAN-CONFORMAL,CS-CONF-ACCEPT,conformal_prediction,Uncertainty Sets for Image Classifiers using Conformal Prediction,The conformal method provides marginal coverage under the stated calibration assumptions.,ACCEPT,ACCEPT,positive_support_with_localized_span,PASS,positive_support_locator,yes,exact_support,direct_span_support,The conformal method provides marginal coverage under the stated calibration assumptions.,"A marginal conformal guarantee proves each individual prediction is correct, every subgroup is covered, or deployment reliability is certified.",calibration procedure; exchangeability or distributional assumption; nominal level; risk/coverage definition; prediction-set construction,stated marginal coverage or declared risk-control guarantee in the source,"uncertainty-set, prediction-set, or risk-control reporting",declared_marginal_coverage_claim <= conditional_or_instance_claim; declared_risk_control_claim <= deployment_reliability_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-015,CLAIMSPAN-CONFORMAL,CS-CONF-ACCEPT,conformal_prediction,Distribution-Free Risk Controlling Prediction Sets,The prediction set controls the declared risk under the stated procedure.,ACCEPT,ACCEPT,positive_support_with_localized_span,PASS,positive_support_locator,yes,exact_support,direct_span_support,The prediction set controls the declared risk under the stated procedure.,"A marginal conformal guarantee proves each individual prediction is correct, every subgroup is covered, or deployment reliability is certified.",calibration procedure; exchangeability or distributional assumption; nominal level; risk/coverage definition; prediction-set construction,stated marginal coverage or declared risk-control guarantee in the source,"uncertainty-set, prediction-set, or risk-control reporting",declared_marginal_coverage_claim <= conditional_or_instance_claim; declared_risk_control_claim <= deployment_reliability_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-023,CLAIMSPAN-DATASET-DOC,CS-DDOC-BOUNDARY,dataset_documentation,Datasheets for Datasets,The dataset documentation alone validates performance after deployment in a new target domain.,REWRITE,REWRITE,absence_boundary_rewrite,PASS,support_plus_overclaim_boundary_locator,no,no_match,absence_boundary_rewrite,Rewrite deployment-validity or safety language to documentation-context or risk-disclosure wording.,"A datasheet, data statement, data card, or nutrition label guarantees safe or valid deployment.",documentation artifact plus proposed downstream/deployment target,"whether the source contains documentation evidence, absence boundary, or risk/safety limitation cue",reviewer-facing dataset overclaim audit,documentation_context_claim < deployment_validity_claim; population_scope_context < fairness/privacy guarantee,ADMITTED_AS_ABSENCE_BOUNDARY
F1CS-024,CLAIMSPAN-DATASET-DOC,CS-DDOC-BOUNDARY,dataset_documentation,Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI,The data card makes the dataset safe for every deployment domain.,REWRITE,REWRITE,localized_overclaim_boundary_rewrite,PASS,support_plus_overclaim_boundary_locator,partial,limitation_boundary,localized_boundary_or_limitation,Rewrite deployment-validity or safety language to documentation-context or risk-disclosure wording.,"A datasheet, data statement, data card, or nutrition label guarantees safe or valid deployment.",documentation artifact plus proposed downstream/deployment target,"whether the source contains documentation evidence, absence boundary, or risk/safety limitation cue",reviewer-facing dataset overclaim audit,documentation_context_claim < deployment_validity_claim; population_scope_context < fairness/privacy guarantee,ADMITTED_WITH_LOCAL_SPAN
F1CS-027,CLAIMSPAN-LLM-EVAL,CS-LEV-BOUNDARY,llm_evaluation,Measuring Massive Multitask Language Understanding,A high MMLU score proves expert-level reasoning across all domains.,REWRITE,REWRITE,localized_overclaim_boundary_rewrite,PASS,support_plus_overclaim_boundary_locator,partial,limitation_boundary,localized_boundary_or_limitation,Rewrite to the evaluated scenario/task/prompt/metric surface; do not license broad capability.,"An eval harness, MMLU/HELM/BIG-bench score, or scaling extrapolation certifies safety or general intelligence.",same as CS-LEV-ACCEPT plus declared extrapolation or deployment target,whether the evidence is an evaluated metric/configuration or a limitation cue,reviewer-facing capability claim audit,scenario_metric_claim < task_generalization_claim < universal_capability_or_safety_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-029,CLAIMSPAN-LLM-EVAL,CS-LEV-BOUNDARY,llm_evaluation,EleutherAI Language Model Evaluation Harness,The harness alone makes every benchmark result comparable.,REWRITE,REWRITE,localized_overclaim_boundary_rewrite,PASS,support_plus_overclaim_boundary_locator,partial,narrower_support,localized_boundary_or_limitation,Rewrite to the evaluated scenario/task/prompt/metric surface; do not license broad capability.,"An eval harness, MMLU/HELM/BIG-bench score, or scaling extrapolation certifies safety or general intelligence.",same as CS-LEV-ACCEPT plus declared extrapolation or deployment target,whether the evidence is an evaluated metric/configuration or a limitation cue,reviewer-facing capability claim audit,scenario_metric_claim < task_generalization_claim < universal_capability_or_safety_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-030,CLAIMSPAN-CONFORMAL,CS-CONF-BOUNDARY,conformal_prediction,Uncertainty Sets for Image Classifiers using Conformal Prediction,Each individual prediction is guaranteed correct at the nominal probability.,REWRITE,REWRITE,localized_overclaim_boundary_rewrite,PASS,support_plus_overclaim_boundary_locator,partial,limitation_boundary,localized_boundary_or_limitation,Rewrite to the stated marginal coverage or declared risk-control guarantee under the procedure assumptions.,"Distribution-free marginal coverage automatically entails individual correctness, conditional coverage for every subgroup, or production reliability.","same as CS-CONF-ACCEPT plus proposed individual, subgroup, or deployment target",whether the evidence states marginal coverage/risk control or explicitly proves a stronger conditional guarantee,reviewer-facing uncertainty guarantee audit,marginal_coverage_claim < subgroup_conditional_claim < individual_correctness_or_deployment_reliability_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-039,CLAIMSPAN-DATASET-DOC,CS-DDOC-BOUNDARY,dataset_documentation,Datasheets for Datasets,This dataset validates deployment in the target domain.,REWRITE,REWRITE,absence_boundary_rewrite,PASS,support_plus_overclaim_boundary_locator,no,no_match,absence_boundary_rewrite,Rewrite deployment-validity or safety language to documentation-context or risk-disclosure wording.,"A datasheet, data statement, data card, or nutrition label guarantees safe or valid deployment.",documentation artifact plus proposed downstream/deployment target,"whether the source contains documentation evidence, absence boundary, or risk/safety limitation cue",reviewer-facing dataset overclaim audit,documentation_context_claim < deployment_validity_claim; population_scope_context < fairness/privacy guarantee,ADMITTED_AS_ABSENCE_BOUNDARY
F1CS-059,CLAIMSPAN-LLM-EVAL,CS-LEV-BOUNDARY,llm_evaluation,Measuring Massive Multitask Language Understanding,A high score establishes general intelligence.,WEAKEN,WEAKEN,weakening_or_limitation_boundary,PASS,weakening_evidence_or_limitation_locator,partial,limitation_boundary,localized_boundary_or_limitation,Weaken to observed benchmark behavior or limitation evidence under the stated evaluation setup.,"An eval harness, MMLU/HELM/BIG-bench score, or scaling extrapolation certifies safety or general intelligence.",same as CS-LEV-ACCEPT plus declared extrapolation or deployment target,whether the evidence is an evaluated metric/configuration or a limitation cue,reviewer-facing capability claim audit,scenario_metric_claim < task_generalization_claim < universal_capability_or_safety_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-060,CLAIMSPAN-LLM-EVAL,CS-LEV-BOUNDARY,llm_evaluation,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,Capability extrapolation proves future model behavior.,WEAKEN,WEAKEN,weakening_or_limitation_boundary,PASS,weakening_evidence_or_limitation_locator,partial,limitation_boundary,localized_boundary_or_limitation,Weaken to observed benchmark behavior or limitation evidence under the stated evaluation setup.,"An eval harness, MMLU/HELM/BIG-bench score, or scaling extrapolation certifies safety or general intelligence.",same as CS-LEV-ACCEPT plus declared extrapolation or deployment target,whether the evidence is an evaluated metric/configuration or a limitation cue,reviewer-facing capability claim audit,scenario_metric_claim < task_generalization_claim < universal_capability_or_safety_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-061,CLAIMSPAN-LLM-EVAL,CS-LEV-BOUNDARY,llm_evaluation,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,The benchmark extrapolation proves all future model capabilities.,WEAKEN,WEAKEN,weakening_or_limitation_boundary,PASS,weakening_evidence_or_limitation_locator,partial,limitation_boundary,localized_boundary_or_limitation,Weaken to observed benchmark behavior or limitation evidence under the stated evaluation setup.,"An eval harness, MMLU/HELM/BIG-bench score, or scaling extrapolation certifies safety or general intelligence.",same as CS-LEV-ACCEPT plus declared extrapolation or deployment target,whether the evidence is an evaluated metric/configuration or a limitation cue,reviewer-facing capability claim audit,scenario_metric_claim < task_generalization_claim < universal_capability_or_safety_claim,ADMITTED_WITH_LOCAL_SPAN
F1CS-063,CLAIMSPAN-CONFORMAL,CS-CONF-BOUNDARY,conformal_prediction,Conformalized Quantile Regression,The interval coverage is conditionally valid for every subgroup.,WEAKEN,WEAKEN,weakening_or_limitation_boundary,PASS,weakening_evidence_or_limitation_locator,partial,limitation_boundary,localized_boundary_or_limitation,"Weaken conditional, subgroup, or instance-level language to the source's stated marginal guarantee.","Distribution-free marginal coverage automatically entails individual correctness, conditional coverage for every subgroup, or production reliability.","same as CS-CONF-ACCEPT plus proposed individual, subgroup, or deployment target",whether the evidence states marginal coverage/risk control or explicitly proves a stronger conditional guarantee,reviewer-facing uncertainty guarantee audit,marginal_coverage_claim < subgroup_conditional_claim < individual_correctness_or_deployment_reliability_claim,ADMITTED_WITH_LOCAL_SPAN
