row_id,source_id,family,template_id,title,source_url,section_locator,candidate_claim,reference_safe,reference_action,reference_gate,reference_reason,reference_rewrite,conservative_safe,conservative_action,conservative_gate,conservative_reason,conservative_safe_correct,conservative_action_correct,conservative_gate_correct,conservative_unsafe_false_release
V317B-LLM-001,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,Benchmark Everything Everywhere All at Once,https://arxiv.org/abs/2606.06462,Abstract,The paper introduces Benchmark Agent as a fully autonomous agentic system for benchmark building.,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-LLM-002,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,Benchmark Everything Everywhere All at Once,https://arxiv.org/abs/2606.06462,Section 4.2 Main Results,Benchmark Agent's generated benchmarks are broadly validated as high quality across benchmark types.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"In the reported main evaluation, generated benchmarks achieved about 96-98% human acceptance and UIA scores from 68.54 to 81.48.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,True,True,False
V317B-LLM-003,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,Benchmark Everything Everywhere All at Once,https://arxiv.org/abs/2606.06462,Section 4.2 Model discriminative,The generated benchmarks show consistent scaling trends for all evaluated model families across every benchmark.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,The generated benchmarks are reported to show consistent Qwen3.5 scaling trends on three applicable benchmarks from 2B to 27B.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,True,True,False
V317B-LLM-004,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,Benchmark Everything Everywhere All at Once,https://arxiv.org/abs/2606.06462,Introduction,"Rapid benchmark refresh for emerging models, new domains, and changing user needs is a design context for Benchmark Agent.",no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,True,True,True,False
V317B-LLM-005,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,TeleSWEBench: A Commit-Driven Benchmark for Evaluating LLM-Powered Software Engineering in Telecommunications,https://arxiv.org/abs/2606.05001,Abstract,TeleSWEBench consists of 734 questions with executable unit tests.,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-LLM-006,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,TeleSWEBench: A Commit-Driven Benchmark for Evaluating LLM-Powered Software Engineering in Telecommunications,https://arxiv.org/abs/2606.05001,Conclusion,TeleSWEBench establishes a 25% success-rate ceiling for autonomous software engineering frameworks in telecom.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"On TeleSWEBench, the best-performing evaluated ASE tools reached up to a 25% success rate for producing shippable code.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,True,True,False
V317B-LLM-007,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,TeleSWEBench: A Commit-Driven Benchmark for Evaluating LLM-Powered Software Engineering in Telecommunications,https://arxiv.org/abs/2606.05001,Section 3.3 Evaluation Framework,TeleSWEBench evaluates only final functional correctness and does not separately test localization ability.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,TeleSWEBench uses a two-stage evaluation pipeline designed to decouple file-localization or architectural navigation skills from functional code-generation correctness.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-LLM-008,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,TeleSWEBench: A Commit-Driven Benchmark for Evaluating LLM-Powered Software Engineering in Telecommunications,https://arxiv.org/abs/2606.05001,Abstract,TeleSWEBench proves telecom software agents are ready for production deployment.,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,True,True,True,False
V317B-LLM-009,V34H-LLM-003,llm_evaluation,TPL-LLM-EVAL-V18,SenseJudge: Human-Centric Preference-Driven Judgment Framework,https://arxiv.org/abs/2606.03189,Section 4.2.1 Main Result,SenseJudge is reported to score 70.66 overall on LLM-as-a-Personalized-Judge and outperform compared baselines by 10.68 percentage points on average.,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-LLM-010,V34H-LLM-003,llm_evaluation,TPL-LLM-EVAL-V18,SenseJudge: Human-Centric Preference-Driven Judgment Framework,https://arxiv.org/abs/2606.03189,Section 4.3 RewardBench,SenseJudge matches or surpasses reward models on RewardBench without training.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"On RewardBench, SenseJudge outperformed compared general LLM-as-a-judge methods and was 1.65% behind the generative reward model without training.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,False,False,False
