check_id,label,status,evidence
CSADAPT-01,spec fields complete,PASS,"all adapter specs fill finite template, G/Q/U, action, preorder, forbidden, and passport fields"
CSADAPT-02,selected families covered,PASS,"family_counts={'conformal_prediction': 5, 'dataset_documentation': 8, 'llm_evaluation': 9}"
CSADAPT-03,nontrivial action mix,PASS,"action_counts={'ACCEPT': 9, 'REWRITE': 6, 'SUPPORT_ONLY': 2, 'SUPPRESS': 1, 'WEAKEN': 4}"
CSADAPT-04,computed actions match post-admission gold,PASS,matched=22/22
CSADAPT-05,protected false release is zero,PASS,no SUPPRESS/REJECT/OUT_OF_SCOPE gold rows released as positive claims
CSADAPT-06,no ACCEPT without localized support,PASS,no no-span/no-match row is admitted as ACCEPT
CSADAPT-07,passport rows emitted,PASS,passport_rows=22
CSADAPT-08,upstream limitations carried,PASS,provenance=PASS_WITH_WARNINGS; wording=PASS
CSADAPT-09,private-marker hygiene,PASS,no private markers in adapter case-study rows
CSADAPT-10,structural boundary diversity,PASS,"template_roles=broad_capability_boundary,conditional_or_instance_boundary,documentation_context_accept,documentation_to_deployment_boundary,marginal_or_declared_risk_accept,scenario_prompt_metric_accept"
