span_task_id,annotator_a_span_found,annotator_b_span_found,annotator_a_match_type,annotator_b_match_type,section_exact_match,span_exact_match,span_token_jaccard,span_token_containment,annotator_a_span,annotator_b_span
F1CS-001,partial,partial,narrower_support,narrower_support,yes,yes,1.000,1.000,"documents its motivation, composition, collection process, recommended uses","documents its motivation, composition, collection process, recommended uses"
F1CS-002,yes,yes,exact_support,exact_support,yes,yes,1.000,1.000,"documents its motivation, composition, collection process, recommended uses","documents its motivation, composition, collection process, recommended uses"
F1CS-003,yes,yes,exact_support,exact_support,yes,no,0.000,0.000,a characterization of a dataset that provides context,datasets and their represented populations into better focus
F1CS-004,yes,partial,exact_support,narrower_support,no,no,0.154,0.286,"upstream sources, data collection and annotation methods",A Data Card contains a structured collection of summaries
F1CS-005,yes,yes,exact_support,exact_support,no,no,0.714,0.833,training/test splits and evaluation metrics,evaluation metrics and train/test splits
F1CS-006,yes,yes,exact_support,exact_support,no,no,0.714,0.833,training/test splits and evaluation metrics,evaluation metrics and train/test splits
F1CS-007,yes,yes,exact_support,exact_support,no,no,0.556,0.833,distribution shift benchmark for tabular data,benchmarking suite for tabular data under distribution shift
F1CS-008,yes,yes,exact_support,exact_support,no,no,0.300,0.500,"scenarios, models, metrics, and prompting strategies","scenarios, same metrics, and with the same prompts"
F1CS-009,yes,yes,exact_support,exact_support,no,no,0.000,0.000,The benchmark covers 57 subjects,measure classification accuracy across all examples and tasks
F1CS-010,yes,yes,exact_support,exact_support,yes,no,0.833,1.000,general linguistic capabilities and test types,linguistic capabilities and test types
F1CS-011,yes,yes,exact_support,exact_support,yes,no,0.833,1.000,general linguistic capabilities and test types,linguistic capabilities and test types
F1CS-012,yes,yes,limitation_boundary,exact_support,yes,no,0.095,0.286,no general way to prove that a concrete benchmark faithfully measures performance on an abstract task,determine if a benchmark presents a valid measure
F1CS-013,yes,yes,exact_support,exact_support,no,no,0.111,0.200,1 - alpha marginal coverage guarantee,marginal over X and Y
F1CS-014,yes,yes,exact_support,exact_support,no,no,0.111,0.200,1 - alpha marginal coverage guarantee,marginal over X and Y
F1CS-015,yes,yes,exact_support,exact_support,no,yes,1.000,1.000,controls the risk with high probability,controls the risk with high probability
F1CS-016,yes,yes,exact_support,exact_support,yes,no,0.385,0.625,evaluated the quality of GPT-4’s feedback,57.4% of the users found GPT-4 generated feedback helpful
F1CS-017,yes,yes,exact_support,exact_support,yes,no,0.600,1.000,57.4% found the feedback helpful,57.4% of the users found GPT-4 generated feedback helpful
F1CS-018,yes,yes,exact_support,exact_support,yes,no,0.000,0.000,generally helpful in verifying checklist completion,over 70% of authors reported that they found the assistant useful
F1CS-019,yes,yes,exact_support,exact_support,yes,no,0.062,0.125,27% of reviewers who received feedback updated their reviews,"more informative reviews, as evaluated by blinded researchers"
F1CS-020,partial,yes,limitation_boundary,exact_support,no,no,0.000,0.000,blueprint for minimum quality assurances,commonly used benchmarks suffer from significant issues
