passport_row_id,span_task_id,adapter_id,source_family,tempting_claim,evidence_anchor,G,Q,U,licensed_action,licensed_emitted_claim,forbidden_stronger_claim
CSADAPT-001,F1CS-001,CLAIMSPAN-DATASET-DOC,dataset_documentation,The dataset card records provenance and recommended-use context for downstream evaluation.,"documents its motivation, composition, collection process, recommended uses",documentation artifact; dataset provenance/composition/use field; represented population or recommended-use cue,presence of a documented field or structured summary in the source,"dataset review, benchmark/resource reporting, documentation adequacy audit",ACCEPT,The dataset card records provenance and recommended-use context for downstream evaluation.,"Documentation alone proves deployment validity, fairness, privacy safety, or target-domain performance."
CSADAPT-002,F1CS-002,CLAIMSPAN-DATASET-DOC,dataset_documentation,The datasheet evidence shows dataset provenance and recommended-use context.,"documents its motivation, composition, collection process, recommended uses",documentation artifact; dataset provenance/composition/use field; represented population or recommended-use cue,presence of a documented field or structured summary in the source,"dataset review, benchmark/resource reporting, documentation adequacy audit",ACCEPT,The datasheet evidence shows dataset provenance and recommended-use context.,"Documentation alone proves deployment validity, fairness, privacy safety, or target-domain performance."
CSADAPT-003,F1CS-003,CLAIMSPAN-DATASET-DOC,dataset_documentation,The data statement supports a claim about language-data provenance and population context.,datasets and their represented populations into better focus,documentation artifact; dataset provenance/composition/use field; represented population or recommended-use cue,presence of a documented field or structured summary in the source,"dataset review, benchmark/resource reporting, documentation adequacy audit",ACCEPT,The data statement supports a claim about language-data provenance and population context.,"Documentation alone proves deployment validity, fairness, privacy safety, or target-domain performance."
CSADAPT-004,F1CS-004,CLAIMSPAN-DATASET-DOC,dataset_documentation,The data card establishes a reusable documentation object for downstream review.,A Data Card contains a structured collection of summaries,documentation artifact; dataset provenance/composition/use field; represented population or recommended-use cue,presence of a documented field or structured summary in the source,"dataset review, benchmark/resource reporting, documentation adequacy audit",ACCEPT,The data card establishes a reusable documentation object for downstream review.,"Documentation alone proves deployment validity, fairness, privacy safety, or target-domain performance."
CSADAPT-005,F1CS-008,CLAIMSPAN-LLM-EVAL,llm_evaluation,"The evaluation result is bounded to the scenario, prompt protocol, and metric.","scenarios, same metrics, and with the same prompts",scenario set; prompt protocol; task/subject set; metric; evaluation harness/configuration,reported result or configuration evidence under the stated evaluation protocol,"benchmark reporting, model comparison, reproducibility review",ACCEPT,"The evaluation result is bounded to the scenario, prompt protocol, and metric.","The benchmark/eval result proves general intelligence, product safety, or future capability."
CSADAPT-006,F1CS-009,CLAIMSPAN-LLM-EVAL,llm_evaluation,The benchmark compares models on the included subject tasks and metric.,measure classification accuracy across all examples and tasks,scenario set; prompt protocol; task/subject set; metric; evaluation harness/configuration,reported result or configuration evidence under the stated evaluation protocol,"benchmark reporting, model comparison, reproducibility review",ACCEPT,The benchmark compares models on the included subject tasks and metric.,"The benchmark/eval result proves general intelligence, product safety, or future capability."
CSADAPT-007,F1CS-013,CLAIMSPAN-CONFORMAL,conformal_prediction,The conformal method provides marginal coverage under stated calibration assumptions.,1 - alpha marginal coverage guarantee,calibration procedure; exchangeability or distributional assumption; nominal level; risk/coverage definition; prediction-set construction,stated marginal coverage or declared risk-control guarantee in the source,"uncertainty-set, prediction-set, or risk-control reporting",ACCEPT,The conformal method provides marginal coverage under stated calibration assumptions.,"A marginal conformal guarantee proves each individual prediction is correct, every subgroup is covered, or deployment reliability is certified."
CSADAPT-008,F1CS-014,CLAIMSPAN-CONFORMAL,conformal_prediction,The conformal method provides marginal coverage under the stated calibration assumptions.,1 - alpha marginal coverage guarantee,calibration procedure; exchangeability or distributional assumption; nominal level; risk/coverage definition; prediction-set construction,stated marginal coverage or declared risk-control guarantee in the source,"uncertainty-set, prediction-set, or risk-control reporting",ACCEPT,The conformal method provides marginal coverage under the stated calibration assumptions.,"A marginal conformal guarantee proves each individual prediction is correct, every subgroup is covered, or deployment reliability is certified."
CSADAPT-009,F1CS-015,CLAIMSPAN-CONFORMAL,conformal_prediction,The prediction set controls the declared risk under the stated procedure.,controls the risk with high probability,calibration procedure; exchangeability or distributional assumption; nominal level; risk/coverage definition; prediction-set construction,stated marginal coverage or declared risk-control guarantee in the source,"uncertainty-set, prediction-set, or risk-control reporting",ACCEPT,The prediction set controls the declared risk under the stated procedure.,"A marginal conformal guarantee proves each individual prediction is correct, every subgroup is covered, or deployment reliability is certified."
CSADAPT-010,F1CS-023,CLAIMSPAN-DATASET-DOC,dataset_documentation,The dataset documentation alone validates performance after deployment in a new target domain.,"NO_LOCALIZED_SUPPORT_IN_AUDITED_SPAN_LAYER: A/B agree; the source describes datasheet documentation, not validation of deployed performance in a new target domain.",documentation artifact plus proposed downstream/deployment target,"whether the source contains documentation evidence, absence boundary, or risk/safety limitation cue",reviewer-facing dataset overclaim audit,REWRITE,Rewrite deployment-validity or safety language to documentation-context or risk-disclosure wording.,"A datasheet, data statement, data card, or nutrition label guarantees safe or valid deployment."
