gold_id,source_family,source_reference,route_label,template_id,submitted_claim,intended_use,expected_decision,expected_output_hint,rationale
GP-01,registered ACS slice,RCI-01,CALL_REGISTERED_TEMPLATE,CTA-CORE-01,In the declared CA-to-TX ACS setting source-isotonic supports the RAC1P=1 slice claim under the reportability policy.,paper result sentence,ACCEPT_LICENSED,already licensed local slice claim,Exact licensed sentence under a registered mainline template.
GP-02,registered WDC upper-bound,RCI-02,CALL_REGISTERED_TEMPLATE,CTA-CORE-02,Oracle target isotonic is the same-regime winner.,reviewer overclaim check,REWRITE_TO_LICENSED,upper-bound reference not same-regime winner,Tempting stronger claim must be rewritten under a registered template.
GP-03,registered weak local support,RCI-03,CALL_REGISTERED_TEMPLATE,CTA-CORE-03,The RAC1P=6 slice is fully reportable as a decisive local result.,weak local support claim,REWRITE_TO_LICENSED,diagnostic not decisive,Weak support must be downgraded to diagnostic wording.
GP-04,registered decision-local claim,RCI-04,CALL_REGISTERED_TEMPLATE,CTA-CORE-04,The global ECE winner transfers unchanged to the auto-merge decision.,deployment/action claim,REWRITE_TO_LICENSED,decision-local winner claim,Global metric winner cannot silently become a decision-region winner.
GP-05,registered unsupported slice,RCI-05,CALL_REGISTERED_TEMPLATE,CTA-CORE-05,The raw method is calibrated on the hard-negative slice.,unsupported slice claim,SUPPRESS_BOTTOM,bottom_T,Unsupported not-reportable slice claim must fail closed.
GP-06,registered support-only adapter,RCI-06,CALL_REGISTERED_TEMPLATE,CTA-NAB-01,The null detector is effective on NAB overall.,adapter expansion claim,SUPPORT_ONLY_REWRITE,support-only clean-stream claim,Support-only adapter evidence must not become a headline anomaly-detection claim.
GP-07,registered rejected adapter probe,RCI-07,CALL_REGISTERED_TEMPLATE,CTA-AI4I-01,AI4I predictive maintenance results support a calibrated maintenance-warning claim.,future domain expansion,REJECT_PATCHWORK,missing adapter contract,Known patchwork probe lacks adapter contract fields and must be rejected.
GP-08,unknown template route,RCI-08,CALL_REGISTERED_TEMPLATE,CTA-UNKNOWN-01,This unregistered benchmark claim should be accepted because it has a metric.,unknown template test,REJECT_UNKNOWN_TEMPLATE,unknown template,Unknown template id must fail closed.
GP-09,model reporting,https://arxiv.org/abs/1810.03993,NEEDS_TEMPLATE_ADMISSION,,The model is reliable for all intended users.,model card result sentence,NEEDS_TEMPLATE_ADMISSION,needs model-reporting adapter,Model-card context is relevant but no registered template currently licenses this broad reliability claim.
GP-10,dataset documentation,https://arxiv.org/abs/1803.09010,NEEDS_TEMPLATE_ADMISSION,,This dataset validates deployment in the target domain.,dataset documentation claim,NEEDS_TEMPLATE_ADMISSION,needs dataset-documentation adapter,Dataset documentation can supply context but does not by itself license deployment validation.
GP-11,distribution shift benchmark,https://proceedings.mlr.press/v139/koh21a.html,NEEDS_TEMPLATE_ADMISSION,,The method is robust to real-world shifts.,benchmark discussion claim,NEEDS_TEMPLATE_ADMISSION,needs shift-benchmark adapter,WILDS-style evidence requires shift-family and use-context bindings before audit.
GP-12,behavioral testing,https://arxiv.org/abs/2005.04118,NEEDS_TEMPLATE_ADMISSION,,The model does not understand negation.,behavioral test claim,NEEDS_TEMPLATE_ADMISSION,needs behavioral-test adapter,Capability-test evidence needs task capability and test-family bindings before claim licensing.
GP-13,robustness toolkit,https://arxiv.org/abs/2101.04840,NEEDS_TEMPLATE_ADMISSION,,The model is robust after passing the evaluated slices.,robustness slice claim,NEEDS_TEMPLATE_ADMISSION,needs robustness-slice adapter,Slice evidence needs role and ceiling before becoming a robustness claim.
GP-14,selective prediction,https://papers.neurips.cc/paper/7073-selective-classification-for-deep-neural-networks,NEEDS_TEMPLATE_ADMISSION,,The classifier has low deployment error.,selective prediction claim,NEEDS_TEMPLATE_ADMISSION,needs risk-coverage adapter,Risk-at-coverage evidence must not be treated as a full-coverage deployment claim without an adapter.
GP-15,theory proof,manual_out_of_scope,OUT_OF_SCOPE_DO_NOT_CALL,,Theorem 2 proves convergence under the stated smoothness assumptions.,proof correctness review,OUT_OF_SCOPE_DO_NOT_CALL,not a metric-to-claim audit,Proof validity is outside the current empirical claim-intake tool.
GP-16,novelty claim,manual_out_of_scope,OUT_OF_SCOPE_DO_NOT_CALL,,This is the first paper to study this problem.,novelty review,OUT_OF_SCOPE_DO_NOT_CALL,not a metric-to-claim audit,Novelty requires literature review rather than metric evidence licensing.
GP-17,implementation correctness,manual_out_of_scope,OUT_OF_SCOPE_DO_NOT_CALL,,The implementation has no hidden bug in the optimizer.,code review,OUT_OF_SCOPE_DO_NOT_CALL,not a metric-to-claim audit,Code correctness requires code/test audit rather than claim template intake.
GP-18,legal safety,manual_out_of_scope,OUT_OF_SCOPE_DO_NOT_CALL,,The system is safe and legally compliant for deployment.,deployment compliance review,OUT_OF_SCOPE_DO_NOT_CALL,not a metric-to-claim audit,Safety and legal compliance require external governance evidence beyond current metric claim licensing.
