row_id,source_id,family,template_id,title,source_url,section_locator,source_span_excerpt,candidate_claim,source_span_word_count,packet_version
V317B-LLM-001,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,Benchmark Everything Everywhere All at Once,https://arxiv.org/abs/2606.06462,Abstract,"we introduce Benchmark Agent, a fully autonomous agentic system designed for benchmark building.",The paper introduces Benchmark Agent as a fully autonomous agentic system for benchmark building.,13,V3.18b-public-safe-20260606
V317B-LLM-002,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,Benchmark Everything Everywhere All at Once,https://arxiv.org/abs/2606.06462,Section 4.2 Main Results,"Human evaluation shows that the generated benchmarks achieve acceptance rates of around 96–98%, while LLM-as-Judge evaluation reports UIA scores ranging from 68.54 to 81.48.",Benchmark Agent's generated benchmarks are broadly validated as high quality across benchmark types.,24,V3.18b-public-safe-20260606
V317B-LLM-003,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,Benchmark Everything Everywhere All at Once,https://arxiv.org/abs/2606.06462,Section 4.2 Model discriminative,"Qwen3.5 models show consistent scaling trends on the three applicable benchmarks: 71.06–87.23 on Multi-Perspective (T), 40.96–56.38 on Art-Reasoning (I), and 45.26–54.49 on Math-Reasoning (I) from 2B to 27B.",The generated benchmarks show consistent scaling trends for all evaluated model families across every benchmark.,28,V3.18b-public-safe-20260606
V317B-LLM-004,V34H-LLM-001,llm_evaluation,TPL-LLM-EVAL-V18,Benchmark Everything Everywhere All at Once,https://arxiv.org/abs/2606.06462,Introduction,"Benchmark Agent can quickly update benchmarks in response to emerging models, new domains, and changing user needs.","Rapid benchmark refresh for emerging models, new domains, and changing user needs is a design context for Benchmark Agent.",17,V3.18b-public-safe-20260606
V317B-LLM-005,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,TeleSWEBench: A Commit-Driven Benchmark for Evaluating LLM-Powered Software Engineering in Telecommunications,https://arxiv.org/abs/2606.05001,Abstract,Our benchmark consists of 734 questions that are accompanied by executable unit tests.,TeleSWEBench consists of 734 questions with executable unit tests.,13,V3.18b-public-safe-20260606
V317B-LLM-006,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,TeleSWEBench: A Commit-Driven Benchmark for Evaluating LLM-Powered Software Engineering in Telecommunications,https://arxiv.org/abs/2606.05001,Conclusion,"Even the most advanced ASE frameworks struggled significantly, with the best-performing tools achieving up to 25% success rate for producing shippable code.",TeleSWEBench establishes a 25% success-rate ceiling for autonomous software engineering frameworks in telecom.,22,V3.18b-public-safe-20260606
V317B-LLM-007,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,TeleSWEBench: A Commit-Driven Benchmark for Evaluating LLM-Powered Software Engineering in Telecommunications,https://arxiv.org/abs/2606.05001,Section 3.3 Evaluation Framework,"We propose a two-stage evaluation pipeline, as shown in Figure 2, designed to explicitly decouple an agent’s architectural navigation skills, identifying where to make changes, from its ability to synthesize functionally correct domain logic.",TeleSWEBench evaluates only final functional correctness and does not separately test localization ability.,34,V3.18b-public-safe-20260606
V317B-LLM-008,V34H-LLM-002,llm_evaluation,TPL-LLM-EVAL-V18,TeleSWEBench: A Commit-Driven Benchmark for Evaluating LLM-Powered Software Engineering in Telecommunications,https://arxiv.org/abs/2606.05001,Abstract,"we introduce TeleSWEBench, the first commit-driven benchmark specifically designed to measure an agent’s performance in the telecom domain.",TeleSWEBench proves telecom software agents are ready for production deployment.,18,V3.18b-public-safe-20260606
V317B-LLM-009,V34H-LLM-003,llm_evaluation,TPL-LLM-EVAL-V18,SenseJudge: Human-Centric Preference-Driven Judgment Framework,https://arxiv.org/abs/2606.03189,Section 4.2.1 Main Result,"the SenseJudge framework achieves an average Overall score of 70.66 in the LLM-as-a-Personalized-Judge task, outperforming baselines including strong open-source and closed-source models, trained judgers, and reward models by 10.68 percentage points on average.",SenseJudge is reported to score 70.66 overall on LLM-as-a-Personalized-Judge and outperform compared baselines by 10.68 percentage points on average.,33,V3.18b-public-safe-20260606
V317B-LLM-010,V34H-LLM-003,llm_evaluation,TPL-LLM-EVAL-V18,SenseJudge: Human-Centric Preference-Driven Judgment Framework,https://arxiv.org/abs/2606.03189,Section 4.3 RewardBench,"SenseJudge outperformed the compared general LLM-as-a-judge methods. Without training, its gap with the generative reward model was 1.65%.",SenseJudge matches or surpasses reward models on RewardBench without training.,18,V3.18b-public-safe-20260606
