path,role,required,public_safe,raw_data,notes
README.md,reviewer resource entrypoint,yes,yes,no,Top-level resource orientation for reviewer checkout
CITATION.cff,citation metadata,yes,yes,no,Citation metadata for submission snapshot and later archive citation
CHANGELOG.md,release change log,yes,yes,no,Public-safe release-candidate change log
.gitignore,generated report ignore rules,yes,yes,no,Release-root ignore rules for generated report directories
.github/workflows/claimcontractbench-smoke.yml,GitHub Actions smoke workflow,yes,yes,no,Optional repository CI workflow that runs the standard-library release smoke suite
.github/ISSUE_TEMPLATE/bug_report.yml,bug report issue template,yes,yes,no,Guided public-safe bug and reproducibility report form
.github/ISSUE_TEMPLATE/resource_question.yml,resource question issue template,yes,yes,no,Guided public-safe resource and documentation question form
.github/ISSUE_TEMPLATE/template_admission_request.yml,template admission issue template,yes,yes,no,Guided public-safe typed claim-template admission request form
.github/pull_request_template.md,pull request template,yes,yes,no,Public-safe pull request checklist for validation manifest and documentation changes
CONTRIBUTING.md,contribution guide,yes,yes,no,Public-safe contribution scope and pull request checklist
CODE_OF_CONDUCT.md,code of conduct,yes,yes,no,Public discussion norms and confidentiality boundaries
SUPPORT.md,support guide,yes,yes,no,Public-safe support request guidance and required details
SECURITY.md,security and privacy guide,yes,yes,no,Accidental disclosure release-safety and privacy reporting guidance
LICENSE.md,license scope,yes,yes,no,Final mixed-license scope for code and derived resource files; raw third-party data is excluded
LICENSES/Apache-2.0.txt,Apache-2.0 license text,yes,yes,no,Full Apache License 2.0 text for code and executable scripts
LICENSES/CC-BY-4.0.txt,CC-BY-4.0 license text,yes,yes,no,Full Creative Commons Attribution 4.0 International license text for derived non-code resource materials
docs/QUICKSTART.md,second-layer reviewer quickstart,yes,yes,no,Ten-minute reviewer path and expected outputs
docs/START_HERE.md,first-contact trial guide,yes,yes,no,Human and LLM no-threshold trial paths for the current three-family resource surface
docs/REVIEWER_CHECKLIST.md,reviewer verification checklist,yes,yes,no,One-page reviewer map for artifact validation evidence inspection and misuse red flags
docs/CLAIM_IDENTIFICATION.md,claim identification guide,yes,yes,no,Explains that human or LLM users identify candidate claims before deterministic checking
docs/CONCEPTS.md,plain-language concept guide,yes,yes,no,Human-friendly explanation of metric-to-claim contracts GQU templates and fail-closed routing
docs/HUMAN_REVIEWER_GUIDE.md,human reviewer guide,yes,yes,no,Non-LLM reviewer inspection guide and interpretation path
docs/EXAMPLE_OUTPUTS.md,example outputs guide,yes,yes,no,Plain-language interpretation of common command outputs
docs/BOUNDARIES.md,boundary and non-goal guide,yes,yes,no,Scope roles and safe interpretation guide
docs/REPORT_INDEX.md,report and evidence index,yes,yes,no,Maps paper-facing claims to commands outputs and boundaries
docs/SUPPORTED_TEMPLATE_FAMILIES.md,current supported template families,yes,yes,no,Explains the three V1.8-backed template families current capability evidence and expansion rule
docs/TEMPLATE_ADMISSION.md,template admission documentation,yes,yes,no,Explains new-template contract fields and admission outcomes
docs/LLM_ASSISTED_PATH.md,LLM-assisted path guide,yes,yes,no,Optional LLM packet drafting path separated from human reviewer path
docs/LLM_CONTEXT.md,LLM context guide,yes,yes,no,Gold-free context file for AI assistants using the fixed real-paper trial packet
docs/REPRODUCIBILITY.md,reproducibility documentation,yes,yes,no,Environment and validation details for first inspection
docs/DATA_AND_LICENSES.md,data and license documentation,yes,yes,no,Raw-data posture derived-material license and user responsibility guide
docs/EVALUATION_SOURCE_INVENTORY.md,advanced evaluation source inventory,yes,yes,no,Reviewer-facing inventory for public-paper benchmark surfaces and public-safe source policy
docs/FAQ.md,public FAQ,yes,yes,no,Human-friendly answers about LLMs raw data GQU and citation
artifact/RESOURCE_SPEC.md,resource specification,yes,yes,no,Defines artifact MVP and release boundaries
artifact/ENVIRONMENT_NOTE_20260526.md,environment note,yes,yes,no,Python and runtime requirements for first reviewer inspection
artifact/PUBLIC_RELEASE_CHECKLIST_20260527.md,public release checklist,yes,yes,no,Checklist for final tag archive DOI and paper availability statement
artifact/RELEASE_ROOT_PLAN_20260520.md,release plan,yes,yes,no,Maps the submission snapshot release root and remaining publication checks
artifact/REVIEWER_QUICKSTART_RELEASE_20260520.md,reviewer quickstart,yes,yes,no,Release-root relative quickstart for the submission snapshot
artifact/LLM_ASSISTED_REVIEW_QUICKSTART_20260527.md,LLM-assisted review quickstart,yes,yes,no,Copy-paste LLM front-end workflow and prompt guide for fail-closed claim review packets
artifact/AGENT_ONE_SHOT_REVIEW_GUIDE_20260527.md,one-shot AI-agent review guide,yes,yes,no,Agent-facing workflow for one-instruction assisted paper review with local deterministic checks
artifact/TEMPLATE_ADMISSION_QUICKSTART_20260527.md,template admission quickstart,yes,yes,no,Copy-paste guide for drafting and checking new typed claim templates when no registered template matches
artifact/USER_EXPERIENCE_FEEDBACK_GUIDE_20260527.md,user-experience feedback guide,yes,yes,no,Public-safe optional feedback guide with one-sentence LLM opt-in prompt and human contact boundary
artifact/user_experience_feedback_template_20260527.md,user-experience feedback template,yes,yes,no,Minimal public-safe Markdown note for optional usability feedback
artifact/release_manifest_20260520.csv,release manifest,yes,yes,no,Machine-readable public-safe release surface
artifact/source_license_snapshot_20260520.csv,source/license snapshot,yes,yes,no,Access-date refreshed source and redistribution posture table
artifact/dataset_source_manifest_20260520.csv,dataset/source manifest,yes,yes,no,Public-safe dataset roles sources and release boundaries
artifact/split_scenario_manifest_examples_20260520.csv,split/scenario manifest examples,yes,yes,no,Public-safe scenario and split role examples
artifact/claim_contract_schema_20260520.json,claim-contract schema,yes,yes,no,Machine-readable claim-contract field schema
artifact/projection_smoke_cases_20260521.csv,projection smoke inputs,yes,yes,no,Public-safe cases for regenerating five action-family passport rows
artifact/claim_template_admission_schema_20260521.json,template-admission schema,yes,yes,no,Machine-readable schema for batch claim-template admission
artifact/claim_template_admission_cases_20260521.csv,template-admission cases,yes,yes,no,Public-safe cases for admitting or rejecting claim templates under the adapter contract
artifact/reviewer_claim_intake_schema_20260521.json,reviewer claim-intake schema,yes,yes,no,Machine-readable schema for application-facing claim intake rows
artifact/reviewer_claim_intake_examples_20260521.csv,reviewer claim-intake examples,yes,yes,no,Public-safe author and reviewer claim-intake examples for application decisions
artifact/llm_claim_review_packet_template_20260527.csv,LLM claim review packet template,yes,yes,no,Public-safe CSV template for LLM-assisted claim extraction and route handoff
artifact/template_admission_packet_template_20260527.csv,template admission packet template,yes,yes,no,Public-safe CSV example for drafting candidate templates before admission checking
artifact/application_motivation_cases_20260521.csv,application motivation cases,yes,yes,no,Public-safe external case map connecting application pressures to claim-governance decisions
artifact/claim_audit_gold_probe_schema_20260521.json,claim-audit gold probe schema,yes,yes,no,Machine-readable schema for routing and decision gold-probe rows
artifact/claim_audit_gold_probe_cases_20260521.csv,claim-audit gold probe cases,yes,yes,no,Public-safe gold-probe rows separating registered calls from adapter-needed and out-of-scope text
artifact/paper_claim_gold_benchmark_schema_20260521.json,paper-claim gold benchmark schema,yes,yes,no,Machine-readable schema for paper-claim benchmark sources and cases
artifact/paper_claim_gold_benchmark_annotation_protocol_20260521.md,paper-claim gold benchmark annotation protocol,yes,yes,no,Public-safe labeling protocol and reliability boundary for paper-claim benchmark rows
artifact/paper_claim_gold_benchmark_blind_annotation_packet_20260521.csv,paper-claim blind annotation packet,yes,yes,no,Public-safe randomized annotation packet without gold labels for independent second annotation
artifact/paper_claim_gold_benchmark_annotation_map_20260521.csv,paper-claim annotation map,yes,yes,no,Public-safe map from blind annotation ids to benchmark claim ids for agreement computation
artifact/paper_claim_gold_benchmark_sources_20260521.csv,paper-claim gold benchmark sources,yes,yes,no,Public-safe source manifest for 40 external empirical ML/evaluation papers plus registered controls
artifact/paper_claim_gold_benchmark_cases_20260521.csv,paper-claim gold benchmark cases,yes,yes,no,Public-safe paraphrased paper-claim rows for reliability and unsupported-template boundary measurement
artifact/paper_excerpt_reviewer_value_schema_20260521.json,paper-excerpt decision-surface schema,yes,yes,no,Public-safe schema for source-anchored selected-excerpt decision-surface rows
artifact/paper_excerpt_reviewer_value_cases_20260521.csv,paper-excerpt decision-surface cases,yes,yes,no,Public-safe source-anchored selected-excerpt benchmark rows and registered controls
src/validate_release_surface.py,validation script,yes,yes,no,Standard-library release surface validator
src/claimcontractbench.py,user-facing command hub,yes,yes,no,Standard-library convenience CLI for doctor smoke templates packet initialization and packet review
src/run_projection_smoke.py,projection smoke runner,yes,yes,no,Standard-library runner that regenerates five public claim-passport rows
src/run_claim_audit_report.py,claim audit report runner,yes,yes,no,Standard-library runner that generates reviewer-facing claim audit reports from public-safe derived assets
src/run_claim_template_admission.py,claim template admission runner,yes,yes,no,Standard-library runner that admits support-only and mainline templates or rejects patchwork expansion
src/run_reviewer_claim_intake.py,reviewer claim-intake runner,yes,yes,no,Standard-library runner that turns registered templates and submitted claims into author/reviewer decisions
src/run_reviewer_audit_demo.py,reviewer-facing audit demo runner,yes,yes,no,Standard-library runner that joins paragraph routing and deterministic intake into reviewer audit cards
src/run_reviewer_audit_demo_regression.py,reviewer-facing audit demo regression runner,yes,yes,no,Standard-library runner that locks the reviewer demo card counts decisions fail-closed boundary and HTML surface
src/run_llm_claim_review_packet.py,LLM claim review packet runner,yes,yes,no,Standard-library runner that turns LLM-produced claim-routing packets into fail-closed review reports
src/run_release_smoke_suite.py,release smoke suite runner,yes,yes,no,Standard-library one-command smoke suite covering positive paths and critical fail-closed packet checks
src/run_claim_audit_gold_probe.py,claim-audit gold probe runner,yes,yes,no,Standard-library runner that distinguishes registered-template calls from adapter-needed and out-of-scope text
src/run_paper_claim_gold_benchmark.py,paper-claim gold benchmark runner,yes,yes,no,Standard-library runner that evaluates 40-paper claim benchmark consistency and fail-closed routing
src/run_paper_claim_annotation_agreement.py,paper-claim annotation agreement runner,yes,yes,no,Standard-library runner that validates blind annotation packets and computes second-annotator agreement when labels are filled
src/run_paper_excerpt_reviewer_value_benchmark.py,paper-excerpt decision-surface benchmark runner,yes,yes,no,Standard-library runner that evaluates selected source-anchored excerpt decision-surface decisions and front-end predictions
data/claim_passport_casebook_20260519.csv,claim passport data,yes,yes,no,Five action-family casebook rows
data/final_display_assets_20260520/claim_passport_compressed_table.csv,compressed display data,yes,yes,no,Main claim passport display source
data/support_resource_display_20260520/resource_component_rows.csv,resource component data,yes,yes,no,Resource component table source
data/gqu_ablation_display_20260520/ablation_display_rows.csv,GQU ablation data,yes,yes,no,Field-intervention control rows
data/q_policy_sensitivity_display_20260519/q_policy_display_rows.csv,Q policy data,yes,yes,no,Declared reportability-policy sensitivity rows
