span_task_id,paper_id,source_family,title,gold_route_label,post_admission_gold_action,current_boundary_action,curation_priority,claim_level_target_kind,claim_level_span_found,span_match_type,confidence_1_to_5,localization_class,paper_facing_role
F1CS-001,P002,dataset_documentation,Datasheets for Datasets,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P2_positive_locator,positive_support_locator,partial,narrower_support,4,adapter_evidence_present,partial_adapter_accept_candidate
F1CS-002,P002,dataset_documentation,Datasheets for Datasets,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-003,P003,dataset_documentation,Data Statements for Natural Language Processing,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,partial,narrower_support,3,adapter_evidence_present,partial_adapter_accept_candidate
F1CS-004,P004,dataset_documentation,Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,partial,narrower_support,4,adapter_evidence_present,partial_adapter_accept_candidate
F1CS-005,P006,distribution_shift,WILDS: A Benchmark of in-the-Wild Distribution Shifts,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-006,P006,distribution_shift,WILDS: A Benchmark of in-the-Wild Distribution Shifts,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P2_positive_locator,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-007,P007,distribution_shift,TableShift: Benchmarking Distribution Shift in Tabular Data,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-008,P012,llm_evaluation,Holistic Evaluation of Language Models,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P2_positive_locator,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-009,P013,llm_evaluation,Measuring Massive Multitask Language Understanding,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-010,P015,behavioral_testing,Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,yes,exact_support,5,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-011,P015,behavioral_testing,Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P2_positive_locator,positive_support_locator,yes,exact_support,5,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-012,P019,benchmark_validity,What Will it Take to Fix Benchmarking in Natural Language Understanding?,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P2_positive_locator,positive_support_locator,yes,limitation_boundary,5,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-013,P026,conformal_prediction,Uncertainty Sets for Image Classifiers using Conformal Prediction,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-014,P026,conformal_prediction,Uncertainty Sets for Image Classifiers using Conformal Prediction,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P2_positive_locator,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-015,P027,conformal_prediction,Distribution-Free Risk Controlling Prediction Sets,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,yes,exact_support,5,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-016,P033,llm_peer_review,Can Large Language Models Provide Useful Feedback on Research Papers?,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P2_positive_locator,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-017,P033,llm_peer_review,Can Large Language Models Provide Useful Feedback on Research Papers?,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,yes,exact_support,5,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-018,P034,llm_peer_review,Usefulness of LLMs as an Author Checklist Assistant for Scientific Papers,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-019,P035,llm_peer_review,Can LLM feedback enhance review quality? A randomized study of 20K reviews at ICLR 2025,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-020,P040,benchmark_validity,BetterBench: Assessing and Improving Benchmark Lifecycle Practices,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,partial,narrower_support,3,adapter_evidence_present,partial_adapter_accept_candidate
F1CS-021,P001,model_reporting,Model Cards for Model Reporting,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P1_title_anchor_needs_body_check,positive_support_locator,yes,exact_support,4,adapter_evidence_present,clean_adapter_accept_candidate
F1CS-022,P001,model_reporting,Model Cards for Model Reporting,NEEDS_TEMPLATE_ADMISSION,ACCEPT,needs_adapter,P2_positive_locator,positive_support_locator,partial,narrower_support,3,adapter_evidence_present,partial_adapter_accept_candidate
F1CS-023,P002,dataset_documentation,Datasheets for Datasets,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_title_anchor_needs_body_check,support_plus_overclaim_boundary_locator,no,no_match,5,adapter_claim_not_localized,adapter_gap_or_recheck_candidate
F1CS-024,P004,dataset_documentation,Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_title_anchor_needs_body_check,support_plus_overclaim_boundary_locator,partial,limitation_boundary,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-025,P006,distribution_shift,WILDS: A Benchmark of in-the-Wild Distribution Shifts,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_title_anchor_needs_body_check,support_plus_overclaim_boundary_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-026,P007,distribution_shift,TableShift: Benchmarking Distribution Shift in Tabular Data,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_title_anchor_needs_body_check,support_plus_overclaim_boundary_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-027,P013,llm_evaluation,Measuring Massive Multitask Language Understanding,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_title_anchor_needs_body_check,support_plus_overclaim_boundary_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-028,P017,behavioral_testing,Evaluating Models with Contrast Sets,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_title_anchor_needs_body_check,support_plus_overclaim_boundary_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-029,P020,llm_evaluation,EleutherAI Language Model Evaluation Harness,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_title_anchor_needs_body_check,support_plus_overclaim_boundary_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-030,P026,conformal_prediction,Uncertainty Sets for Image Classifiers using Conformal Prediction,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_title_anchor_needs_body_check,support_plus_overclaim_boundary_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-031,P036,llm_peer_review,Monitoring AI-Modified Content at Scale,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_title_anchor_needs_body_check,support_plus_overclaim_boundary_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-032,P001,model_reporting,Model Cards for Model Reporting,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_overclaim_boundary,support_plus_overclaim_boundary_locator,partial,limitation_boundary,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-033,P008,domain_generalization,In Search of Lost Domain Generalization,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_overclaim_boundary,support_plus_overclaim_boundary_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-034,P009,robustness_benchmark,RobustBench: a standardized adversarial robustness benchmark,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_overclaim_boundary,support_plus_overclaim_boundary_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-035,P016,behavioral_robustness,Robustness Gym: Unifying the NLP Evaluation Landscape,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_overclaim_boundary,support_plus_overclaim_boundary_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-036,P021,calibration,On Calibration of Modern Neural Networks,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_overclaim_boundary,support_plus_overclaim_boundary_locator,partial,limitation_boundary,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-037,P023,uncertainty,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_overclaim_boundary,support_plus_overclaim_boundary_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-038,P024,selective_prediction,Selective Classification for Deep Neural Networks,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_overclaim_boundary,support_plus_overclaim_boundary_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-039,P002,dataset_documentation,Datasheets for Datasets,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_overclaim_boundary,support_plus_overclaim_boundary_locator,no,no_match,5,adapter_claim_not_localized,adapter_gap_or_recheck_candidate
F1CS-040,P006,distribution_shift,WILDS: A Benchmark of in-the-Wild Distribution Shifts,NEEDS_TEMPLATE_ADMISSION,REWRITE,needs_adapter,P1_overclaim_boundary,support_plus_overclaim_boundary_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-041,P015,behavioral_testing,Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,no,out_of_scope_cue,5,do_not_call_boundary_not_localized,boundary_stop_no_claim_span
F1CS-042,P028,conformal_prediction,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,no,no_match,5,do_not_call_boundary_not_localized,boundary_stop_no_claim_span
F1CS-043,P005,dataset_quality,The Dataset Nutrition Label (2nd Gen),OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,no,no_match,4,do_not_call_boundary_not_localized,boundary_stop_no_claim_span
F1CS-044,P008,domain_generalization,In Search of Lost Domain Generalization,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,no,no_match,5,do_not_call_boundary_not_localized,boundary_stop_no_claim_span
F1CS-045,P009,robustness_benchmark,RobustBench: a standardized adversarial robustness benchmark,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,partial,limitation_boundary,5,do_not_call_boundary_cue_present,boundary_stop_evidence
F1CS-046,P010,language_benchmark,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,partial,limitation_boundary,4,do_not_call_boundary_cue_present,boundary_stop_evidence
F1CS-047,P016,behavioral_robustness,Robustness Gym: Unifying the NLP Evaluation Landscape,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,partial,limitation_boundary,5,do_not_call_boundary_cue_present,boundary_stop_evidence
F1CS-048,P021,calibration,On Calibration of Modern Neural Networks,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,no,out_of_scope_cue,5,do_not_call_boundary_not_localized,boundary_stop_no_claim_span
F1CS-049,P023,uncertainty,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,no,out_of_scope_cue,5,do_not_call_boundary_not_localized,boundary_stop_no_claim_span
F1CS-050,P024,selective_prediction,Selective Classification for Deep Neural Networks,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,no,out_of_scope_cue,5,do_not_call_boundary_not_localized,boundary_stop_no_claim_span
F1CS-051,P030,conformal_shift,Conformal Prediction under Covariate Shift,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,no,no_match,5,do_not_call_boundary_not_localized,boundary_stop_no_claim_span
F1CS-052,P031,conformal_limits,Limits of Distribution-Free Conditional Predictive Inference,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,no,no_match,5,do_not_call_boundary_not_localized,boundary_stop_no_claim_span
F1CS-053,P038,scientific_summarization,Generalization Bias in LLM Summarization of Scientific Research,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,partial,absence_boundary,4,do_not_call_boundary_cue_present,boundary_stop_evidence
F1CS-054,P039,llm_peer_review_security,Invisible Text Injection and Peer Review by AI Models,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,partial,absence_boundary,5,do_not_call_boundary_cue_present,boundary_stop_evidence
F1CS-055,P002,dataset_documentation,Datasheets for Datasets,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,partial,limitation_boundary,5,do_not_call_boundary_cue_present,boundary_stop_evidence
F1CS-056,P006,distribution_shift,WILDS: A Benchmark of in-the-Wild Distribution Shifts,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,no,out_of_scope_cue,5,do_not_call_boundary_not_localized,boundary_stop_no_claim_span
F1CS-057,P012,llm_evaluation,Holistic Evaluation of Language Models,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,partial,limitation_boundary,4,do_not_call_boundary_cue_present,boundary_stop_evidence
F1CS-058,P019,benchmark_validity,What Will it Take to Fix Benchmarking in Natural Language Understanding?,OUT_OF_SCOPE_DO_NOT_CALL,OUT_OF_SCOPE,stop,P0_boundary_sensitive,out_of_scope_boundary_locator,no,out_of_scope_cue,5,do_not_call_boundary_not_localized,boundary_stop_no_claim_span
F1CS-059,P013,llm_evaluation,Measuring Massive Multitask Language Understanding,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-060,P014,llm_evaluation,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,limitation_boundary,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-061,P014,llm_evaluation,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,limitation_boundary,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-062,P015,behavioral_testing,Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-063,P029,conformal_prediction,Conformalized Quantile Regression,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-064,P010,language_benchmark,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-065,P010,language_benchmark,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-066,P021,calibration,On Calibration of Modern Neural Networks,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-067,P038,scientific_summarization,Generalization Bias in LLM Summarization of Scientific Research,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-068,P039,llm_peer_review_security,Invisible Text Injection and Peer Review by AI Models,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
