excerpt_id,paper_id,source_family,case_role,excerpt_index,source_title,primary_source,excerpt_kind,source_micro_excerpt,micro_excerpt_word_count,candidate_claim,human_gold_route_label,human_gold_template_id,post_admission_gold_action,current_expected_tool_decision,current_expected_reviewer_action,overclaim_hazard,reviewer_comment_gold,selection_rationale,gold_label_basis
PEV-001,P001,model_reporting,external_excerpt,1,Model Cards for Model Reporting,https://arxiv.org/abs/1810.03993,title_metadata_excerpt,Model Cards for Model Reporting,5,The paper can claim that model cards document intended use and evaluated groups.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded documentation claim,Open a model-reporting adapter before accepting; the admissible claim should stay tied to intended-use and evaluated subgroup fields.,documentation positive,source title plus model-reporting role
PEV-002,P002,dataset_documentation,external_excerpt,2,Datasheets for Datasets,https://arxiv.org/abs/1803.09010,title_metadata_excerpt,Datasheets for Datasets,3,The datasheet evidence shows dataset provenance and recommended-use context.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded dataset documentation claim,Open a dataset-documentation adapter before accepting; the claim should stay about provenance and use context.,documentation positive,source title plus dataset documentation role
PEV-003,P003,dataset_documentation,external_excerpt,3,Data Statements for Natural Language Processing,https://aclanthology.org/Q18-1041/,title_metadata_excerpt,Data Statements for Natural Language Processing,6,The data statement supports a claim about language-data provenance and population context.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded data provenance claim,Open an adapter before accepting; keep the claim to stated data provenance and population context.,documentation positive,source title plus NLP data statement role
PEV-004,P004,dataset_documentation,external_excerpt,4,Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI,https://arxiv.org/abs/2204.01075,title_metadata_excerpt,Purposeful and Transparent Dataset Documentation,5,The data card makes the dataset safe for every deployment domain.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,documentation to deployment overclaim,Do not license deployment safety from documentation alone; rewrite to documented purpose and use constraints after adapter admission.,overclaim boundary,source title plus deployment boundary
PEV-005,P005,dataset_quality,external_excerpt,5,The Dataset Nutrition Label (2nd Gen),https://arxiv.org/abs/2201.03954,title_metadata_excerpt,Dataset Nutrition Label,3,A dataset quality label proves the dataset has no privacy or fairness risk.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,quality label to universal safety,Treat this as unsupported by the current registry; a quality label cannot license universal privacy or fairness safety.,hard negative,source title plus risk-label boundary
PEV-006,P001,model_reporting,external_excerpt,6,Model Cards for Model Reporting,https://arxiv.org/abs/1810.03993,title_metadata_excerpt,Model Cards for Model Reporting,5,The reported intended-use section proves the system is legally compliant for all users.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,legal compliance overreach,Stop the claim runner; legal compliance is outside metric-to-claim licensing and needs separate legal review.,out of scope,legal compliance non-goal
PEV-007,P002,dataset_documentation,external_excerpt,7,Datasheets for Datasets,https://arxiv.org/abs/1803.09010,title_metadata_excerpt,Datasheets for Datasets,3,The dataset documentation alone validates performance after deployment in a new target domain.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,dataset documentation to deployment validation,Open admission only; the admissible claim would need to narrow from deployment validation to documented dataset-use context.,overclaim boundary,documentation-to-deployment boundary
PEV-008,P003,dataset_documentation,external_excerpt,8,Data Statements for Natural Language Processing,https://aclanthology.org/Q18-1041/,title_metadata_excerpt,Data Statements for Natural Language Processing,6,The data statement can be used as support-only evidence for dataset population scope.,NEEDS_TEMPLATE_ADMISSION,,SUPPORT_ONLY,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,support-only documentation use,Open admission; the row should be support-only unless an adapter defines a stronger claim template.,support-only boundary,source role plus population-scope claim
PEV-009,P004,dataset_documentation,external_excerpt,9,Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI,https://arxiv.org/abs/2204.01075,title_metadata_excerpt,Data Cards,2,The data card establishes a reusable documentation object for downstream review.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded documentation object,Open admission; the claim should remain about documentation structure rather than downstream performance.,documentation positive,source title plus structured documentation role
PEV-010,P005,dataset_quality,external_excerpt,10,The Dataset Nutrition Label (2nd Gen),https://arxiv.org/abs/2201.03954,title_metadata_excerpt,Dataset Nutrition Label,3,The dataset label permits every commercial downstream use.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,license/legal claim,"Stop the claim runner; commercial-use permission is a legal/license question, not a metric claim.",out of scope,license interpretation non-goal
PEV-011,P006,distribution_shift,external_excerpt,11,WILDS: A Benchmark of in-the-Wild Distribution Shifts,https://proceedings.mlr.press/v139/koh21a.html,title_metadata_excerpt,in-the-Wild Distribution Shifts,3,A WILDS-style result is bounded to the declared source-target shift and metric.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded shift-cell claim,Open a distribution-shift adapter; accept only a source-target-metric bounded claim.,shift positive,source title plus benchmark role
PEV-012,P007,distribution_shift,external_excerpt,12,TableShift: Benchmarking Distribution Shift in Tabular Data,https://arxiv.org/abs/2312.07577,title_metadata_excerpt,Benchmarking Distribution Shift in Tabular Data,6,A TableShift comparison can support a tabular shift benchmark result under its protocol.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded tabular shift claim,Open admission; keep the claim to the named tabular shift protocol and metric.,shift positive,source title plus tabular shift role
PEV-013,P008,domain_generalization,external_excerpt,13,In Search of Lost Domain Generalization,https://arxiv.org/abs/2007.01434,title_metadata_excerpt,In Search of Lost Domain Generalization,6,The result is tied to the selected domain-generalization datasets and model-selection rule.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded DG protocol claim,Open admission; accept only if the domain set and selection rule are explicit.,DG positive,source title plus model-selection boundary
PEV-014,P006,distribution_shift,external_excerpt,14,WILDS: A Benchmark of in-the-Wild Distribution Shifts,https://proceedings.mlr.press/v139/koh21a.html,title_metadata_excerpt,in-the-Wild Distribution Shifts,3,The method is robust to all real-world distribution shifts.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,finite shift to universal shift,Rewrite to the evaluated WILDS shift family and metric; do not license universal shift robustness.,overclaim boundary,finite-shift boundary
